Fund Name,Filing Path
2774719 Ontario Ltd,edgar/data/2055944/0001839882-25-008948.txt
"AFFILIATED MANAGERS GROUP, INC.",edgar/data/1004434/0000950123-25-002053.txt
AMERITAS LIFE INSURANCE CORP,edgar/data/936922/0000936922-25-000003.txt
APG Group,edgar/data/1434820/0001323255-25-000005.txt
AVIVA INVESTORS GLOBAL SERVICES LTD,edgar/data/1140211/0001140022-25-000003.txt
Abingworth LLP,edgar/data/1397144/0000898432-25-000126.txt
Ally Insurance Holdings Inc.,edgar/data/1527685/0001527685-25-000002.txt
"Arbiter Partners QP, LP",edgar/data/1502826/0001062993-25-002254.txt
Asia Equity Partners Ltd,edgar/data/2025162/0001104659-25-012656.txt
Atika Capital Partners LP,edgar/data/1568986/0001214659-25-002517.txt
BANK OF HAWAII CORP,edgar/data/46195/0000046195-25-000001.txt
BESSEMER INVESTMENT MANAGEMENT LLC,edgar/data/1172469/0000930413-25-000566.txt
BESSEMER TRUST CO,edgar/data/11790/0000930413-25-000567.txt
BESSEMER TRUST Co NATIONAL ASSOCIATION,edgar/data/316744/0000930413-25-000564.txt
BESSEMER TRUST Co OF FLORIDA,edgar/data/700683/0000930413-25-000563.txt
BI Holding A/S,edgar/data/1778243/0001778243-25-000002.txt
BMO Asset Management Inc.,edgar/data/1600094/0001599966-25-000002.txt
BMO Bank N.A.,edgar/data/1526648/0001599965-25-000002.txt
BMO Delaware Trust Co,edgar/data/1599965/0001599965-25-000001.txt
BMO NESBITT BURNS SECURITIES LTD.,edgar/data/1047797/0001599965-25-000003.txt
BMO PRIVATE INVESTMENT COUNSEL INC.,edgar/data/1600095/0001600095-25-000001.txt
Bank Degroof Petercam SA/NV,edgar/data/2035263/0000950123-25-002024.txt
Banque J.Safra Sarasin (Monaco) SA,edgar/data/2056319/0002056319-25-000001.txt
Baring Fintech Fund III (GP) LP,edgar/data/2053282/0001104659-25-012660.txt
Baring Fintech Nexus Ltd,edgar/data/2053301/0001104659-25-012657.txt
Baring Fintech Private Equity Fund III L.P.1,edgar/data/2053300/0001104659-25-012658.txt
Baring Ventures Fund V Managers Ltd,edgar/data/2053283/0001104659-25-012664.txt
Barta Jan,edgar/data/1892479/0000921895-25-000400.txt
Baystate Wealth Management LLC,edgar/data/1546408/0001580642-25-000996.txt
"Bessemer Trust CO of Delaware, N.A.",edgar/data/1326232/0000930413-25-000569.txt
"Bessemer Trust Co of California, N.A.",edgar/data/1326197/0000930413-25-000568.txt
"Bessemer Trust Co of Nevada, National Association",edgar/data/1997645/0000930413-25-000565.txt
Bexil Advisers LLC,edgar/data/1520629/0000892712-25-000035.txt
Botein Matthew,edgar/data/1469142/0000950123-25-002028.txt
"Braddock Partners Offshore, LP",edgar/data/1697927/0001112520-25-000005.txt
"Broken Clock Management, L.L.C.",edgar/data/1609286/0001062993-25-002250.txt
CA Indosuez (Suisse) SA,edgar/data/1335241/0000950123-25-002005.txt
CA Indosuez Wealth (Europe),edgar/data/1330773/0000950123-25-002021.txt
CAPITAL RESEARCH & MANAGEMENT CO,edgar/data/17283/0001422848-25-000011.txt
CAPULA INVESTMENT MANAGEMENT ASIA Ltd,edgar/data/2054478/0001172661-25-000730.txt
"CAVANAL HILL INVESTMENT MANAGEMENT, INC.",edgar/data/1977483/0001977483-25-000002.txt
"CIM Global, L.L.C.",edgar/data/1555793/0000898432-25-000125.txt
CLC Global Management Pte. Ltd.,edgar/data/1889719/0001634255-25-000003.txt
COHEN & STEERS CAPITAL MANAGEMENT INC,edgar/data/845563/0001284812-25-000076.txt
COMGEST S.A.,edgar/data/1059957/0001172661-25-000769.txt
COMMERCE BANCSHARES INC /MO/,edgar/data/22356/0000022356-25-000012.txt
CQS (UK) LLP,edgar/data/1438311/0001573679-25-000012.txt
"CQS (US), LLC",edgar/data/1447946/0001573679-25-000011.txt
CREDIT AGRICOLE INDOSUEZ GESTION,edgar/data/1697575/0000950123-25-002045.txt
CREDIT AGRICOLE INDOSUEZ WEALTH (AM),edgar/data/1696409/0000950123-25-002018.txt
CREDIT AGRICOLE INDOSUEZ WEALTH (FRANCE),edgar/data/1697576/0000950123-25-002003.txt
CREDIT SUISSE HEDGING-GRIFFO SERVICOS INTERNACIONAIS S.A.,edgar/data/1452282/0000950123-25-002063.txt
CREDIT SUISSE SECURITIES (USA) LLC,edgar/data/1230485/0000950123-25-002076.txt
Canada Life Asset Management Ltd,edgar/data/1657987/0001046192-25-000003.txt
"Capital Group Companies, Inc.",edgar/data/732812/0001422848-25-000002.txt
"Capital Group International, Inc.",edgar/data/949308/0001422848-25-000003.txt
Capula Investment Management LLP,edgar/data/1351450/0001172661-25-000729.txt
Capula Investment US LP,edgar/data/1633019/0001172661-25-000728.txt
Carlyle Investment Management LLC,edgar/data/1354120/0000898432-25-000124.txt
Chadha Sumir,edgar/data/1846835/0001172661-25-000787.txt
Cohen & Steers UK Ltd,edgar/data/1581798/0001284812-25-000079.txt
Comgest Asset Management International Ltd,edgar/data/1627512/0001172661-25-000763.txt
Comgest Asset Management Japan Ltd.,edgar/data/1861228/0001172661-25-000765.txt
Comgest Far East Ltd,edgar/data/1762529/0001172661-25-000766.txt
Comgest Singapore Pte. Ltd.,edgar/data/1859652/0001172661-25-000768.txt
Continental General Holdings LLC,edgar/data/1872137/0000921895-25-000375.txt
"Continental Insurance Group, Ltd.",edgar/data/1663139/0000921895-25-000376.txt
"Contrarian Emerging Markets, L.P.",edgar/data/1458862/0000919574-25-001123.txt
Cooperatieve Rabobank U.A.,edgar/data/1098062/0001104659-25-012960.txt
Credit Agricole Corporate & Investment Bank,edgar/data/1330437/0000950123-25-002017.txt
Credit Suisse (Italy) S.p.a.,edgar/data/1428599/0000950123-25-002064.txt
Crescent Capital Group LP,edgar/data/1513857/0001104659-25-012338.txt
DFA Australia Ltd.,edgar/data/1463464/0001463464-25-000001.txt
Dai-ichi Life International Holdings LLC,edgar/data/1977663/0000898432-25-000112.txt
Dai-ichi Life International Ltd,edgar/data/1977662/0000898432-25-000114.txt
Degroof Petercam Asset Management,edgar/data/1998532/0000950123-25-002000.txt
Degroof Petercam Asset Services S.A.,edgar/data/2041582/0000950123-25-002043.txt
Dimensional Fund Advisors Ltd.,edgar/data/1463225/0001463225-25-000001.txt
Dimensional Fund Advisors Pte. Ltd.,edgar/data/1767761/0001767761-25-000003.txt
Dimensional Ireland Ltd,edgar/data/1939738/0001767761-25-000004.txt
"Diversified Partners, Inc.",edgar/data/1843301/0001843301-25-000002.txt
Dymon Asia Capital (HK) Ltd,edgar/data/1925920/0001172661-25-000761.txt
EASTSPRING INVESTMENTS (SINGAPORE) LTD,edgar/data/1512287/0000898419-25-000002.txt
Eastspring Asset Management (Thailand) Co. Ltd.,edgar/data/1789152/0000898419-25-000005.txt
Eastspring Asset Management Korea Co. Ltd.,edgar/data/1697766/0000898419-25-000004.txt
Eastspring Securities Investment Trust Co. Ltd,edgar/data/1512285/0000898419-25-000003.txt
EnTrust Global Partners Offshore LP,edgar/data/1727111/0001140361-25-004349.txt
"Equitable Investment Management Group, LLC",edgar/data/1536185/0001532155-25-000056.txt
EquityCompass Investment Management,edgar/data/1442676/0001725950-25-000002.txt
Exos TFP Holdings LLC,edgar/data/1877521/0001877521-25-000001.txt
FEDERATED ADVISORY SERVICES CO,edgar/data/1279010/0001623632-25-000199.txt
FEDERATED EQUITY MANAGEMENT CO OF PENNSYLVANIA,edgar/data/1279012/0001623632-25-000201.txt
FEDERATED GLOBAL INVESTMENT MANAGEMENT CORP,edgar/data/1086431/0001623632-25-000203.txt
FEDERATED INVESTMENT COUNSELING,edgar/data/819684/0001623632-25-000205.txt
FEDERATED INVESTMENT MANAGEMENT CO,edgar/data/1086433/0001623632-25-000207.txt
FEDERATED MDTA LLC,edgar/data/1056508/0001623632-25-000211.txt
FIAM LLC,edgar/data/1385495/0000315066-25-000928.txt
FIDELITY MANAGEMENT TRUST CO,edgar/data/715091/0000315066-25-000933.txt
FIL (Luxembourg) S.A.,edgar/data/1796291/0000315066-25-000941.txt
FIL Investment Advisors,edgar/data/1758149/0000315066-25-000945.txt
FIL Investment Advisors (UK) Ltd,edgar/data/1796292/0000315066-25-000944.txt
FIL Investment Management (Australia) Ltd,edgar/data/1833560/0000315066-25-000946.txt
FIL Investment Management (Hong Kong) Ltd,edgar/data/1632421/0000315066-25-000942.txt
FIL Investment Management (Singapore) Ltd,edgar/data/1632423/0000315066-25-000943.txt
FIL Investment Services (UK) Ltd,edgar/data/1632426/0000315066-25-000947.txt
FIL Investments International,edgar/data/1632425/0000315066-25-000948.txt
FMR Investment Management (UK) Ltd,edgar/data/1629539/0000315066-25-000936.txt
Fidelity Diversifying Solutions LLC,edgar/data/1923624/0000315066-25-000929.txt
Fidelity Institutional Asset Management Trust Co,edgar/data/1385494/0000315066-25-000930.txt
Fidelity Investments Canada ULC,edgar/data/1899384/0000315066-25-000940.txt
Fidelity Management & Research (Canada) ULC,edgar/data/1759275/0000315066-25-000934.txt
Fidelity Management & Research (Hong Kong) Ltd,edgar/data/1630052/0000315066-25-000931.txt
Fidelity Management & Research (Japan) Ltd,edgar/data/1723021/0000315066-25-000932.txt
Fidelity Management & Research Co LLC,edgar/data/35368/0000315066-25-000935.txt
Fiera Capital (Europe) Ltd.,edgar/data/1351841/0000943663-25-000037.txt
Fiera Capital (UK) Ltd,edgar/data/1928090/0000943663-25-000040.txt
Fintech Partners Ltd,edgar/data/2035126/0001104659-25-012663.txt
First Commonwealth Bank,edgar/data/1362556/0001362556-25-000002.txt
Gilead Therapeutics A1 Unlimited Co,edgar/data/2055207/0001123292-25-000080.txt
Gorzynski Michael,edgar/data/1812551/0000921895-25-000377.txt
"Guggenheim Partners Investment Management, LLC",edgar/data/1425852/0001425852-25-000001.txt
"HARBOR SPRING MASTER FUND, LP",edgar/data/1638266/0001635409-25-000002.txt
HERMES INVESTMENT MANAGEMENT LTD,edgar/data/1013143/0001623632-25-000209.txt
INTEL CAPITAL CORP,edgar/data/1129302/0001129302-25-000002.txt
Impresa Management LLC,edgar/data/1601774/0000315066-25-000937.txt
"Invesco Advisers, Inc.",edgar/data/20430/0000914208-25-000074.txt
Invesco Asset Management (Japan) Ltd,edgar/data/814519/0000914208-25-000088.txt
Invesco Asset Management Deutschland GmbH,edgar/data/1824875/0000914208-25-000080.txt
Invesco Asset Management Ltd,edgar/data/1113957/0000914208-25-000082.txt
Invesco Asset Management Singapore Ltd.,edgar/data/1928786/0000914208-25-000086.txt
Invesco Australia Ltd,edgar/data/1824868/0000914208-25-000094.txt
Invesco Canada Ltd.,edgar/data/1131154/0000914208-25-000076.txt
Invesco Capital Management LLC,edgar/data/1224696/0000914208-25-000090.txt
Invesco Hong Kong Ltd,edgar/data/1824864/0000914208-25-000078.txt
Invesco Investment Advisers LLC,edgar/data/1088928/0000914208-25-000092.txt
"Invesco Managed Accounts, LLC",edgar/data/2010271/0000914208-25-000100.txt
Invesco Management S.A.,edgar/data/1824867/0000914208-25-000084.txt
Invesco Taiwan Ltd,edgar/data/1928783/0000914208-25-000096.txt
Invesco Trust Co,edgar/data/1608102/0000914208-25-000098.txt
Irish Life Investment Managers Ltd.,edgar/data/1427274/0001046192-25-000004.txt
JOHN HANCOCK INVESTMENT MANAGEMENT LLC,edgar/data/1230788/0001573679-25-000007.txt
JOHN HANCOCK LIFE INSURANCE CO USA,edgar/data/1073894/0001573679-25-000008.txt
JOHN HANCOCK VARIABLE TRUST ADVISERS LLC,edgar/data/1320616/0001573679-25-000010.txt
"JUMP TRADING, LLC",edgar/data/1127998/0000905148-25-000554.txt
"Johnson & Johnson Innovation - JJDC, Inc.",edgar/data/924020/0000904454-25-000126.txt
Jump Trading Credit Ltd.,edgar/data/2033911/0000905148-25-000552.txt
"Jump Trading Holdings, LLC",edgar/data/1831304/0000905148-25-000553.txt
KSM Mutual Funds Ltd.,edgar/data/1812114/0001178913-25-000454.txt
LANSDOWNE DEVELOPED MARKETS LONG ONLY MASTER FUND LTD,edgar/data/1598751/0000919574-25-001101.txt
LANSDOWNE DM LONG ONLY CAYMAN MASTER LP,edgar/data/1598759/0000919574-25-001099.txt
LANSDOWNE DMLO DAVIES STREET LP,edgar/data/1644532/0000919574-25-001098.txt
LGIM Singapore PTE Ltd,edgar/data/2000219/0002000219-25-000002.txt
Latour Trading LLC (Latour),edgar/data/1533423/0001533421-25-000002.txt
Leap GP LLC,edgar/data/1831307/0000905148-25-000555.txt
Leap Investments LP,edgar/data/1779672/0000905148-25-000556.txt
Leap Simplicity Master Fund Ltd.,edgar/data/1893777/0000905148-25-000557.txt
Legal & General Investment Management America Inc,edgar/data/1559265/0001559265-25-000001.txt
Legal & General Investment Management Ltd,edgar/data/1495115/0001495115-25-000001.txt
MANULIFE FINANCIAL CORP,edgar/data/1086888/0001573679-25-000009.txt
MANULIFE INVESTMENT MANAGEMENT (US) LLC,edgar/data/1034182/0001573679-25-000006.txt
"MARINER INDEPENDENT ADVISOR NETWORK, LLC",edgar/data/1548916/0001580642-25-000994.txt
MARSHALL WACE ASIA Ltd,edgar/data/1519964/0002048047-25-000003.txt
MARSHALL WACE SINGAPORE PTE LTD,edgar/data/1980016/0002048047-25-000002.txt
MFP INVESTORS LLC,edgar/data/1105685/0001930102-25-000002.txt
MFS INVESTMENT MANAGEMENT CANADA LTD,edgar/data/1140601/0001140601-25-000003.txt
"MFS Institutional Advisors, Inc.",edgar/data/1443066/0001443066-25-000003.txt
MFS Investment Management CO (LUX) S.A.R.L.,edgar/data/1442898/0001442898-25-000003.txt
"MIDDLEFIELD VENTURES, INC.",edgar/data/1390251/0001390251-25-000004.txt
MIZUHO FINANCIAL GROUP INC,edgar/data/1335730/0000950123-25-001884.txt
MWG GP LLC,edgar/data/1547584/0001427119-25-000003.txt
Manulife Investment Management (Europe) Ltd,edgar/data/1528732/0001573679-25-000005.txt
Manulife Investment Management (Hong Kong) Ltd,edgar/data/1553998/0001573679-25-000002.txt
Manulife Investment Management (North America) Ltd,edgar/data/1254859/0001573679-25-000004.txt
Manulife Investment Management Ltd,edgar/data/1343498/0001573679-25-000003.txt
"Mariner Platform Solutions, LLC",edgar/data/1846208/0001580642-25-000998.txt
Marshall Wace Middle East Ltd,edgar/data/2048047/0002048047-25-000001.txt
Marshall Wace North America L.P.,edgar/data/1325091/0002048047-25-000004.txt
Menora Mivtachim Insurance Ltd.,edgar/data/1506486/0001178913-25-000477.txt
Menora Mivtachim Pensions & Gemel Ltd.,edgar/data/1506485/0001178913-25-000479.txt
Motors Insurance Corp.,edgar/data/1527661/0001527661-25-000002.txt
NB Alternatives Advisers LLC,edgar/data/1469000/0001415889-25-003845.txt
National Bank Financial Inc.,edgar/data/2028017/0002028017-25-000001.txt
Natixis Investment Managers SA,edgar/data/1535815/0001104659-25-012928.txt
Neuberger Berman Asia Ltd,edgar/data/1640762/0001415889-25-003849.txt
Neuberger Berman Canada ULC,edgar/data/1531987/0001415889-25-003856.txt
Neuberger Berman Investment Advisers LLC,edgar/data/1230440/0001415889-25-003847.txt
Neuberger Berman Taiwan (SITE) Ltd,edgar/data/1944468/0001415889-25-003858.txt
Neuberger Berman Trust Co N.A.,edgar/data/1497372/0001415889-25-003851.txt
Neuberger Berman Trust Co of Delaware N.A.,edgar/data/1497476/0001415889-25-003853.txt
"Norinchukin Value Investments Co.,Ltd.",edgar/data/1780738/0000905148-25-000530.txt
"Norinchukin Zenkyoren Asset Management Co., Ltd.",edgar/data/1502194/0000905148-25-000531.txt
Optika Master Portfolio Ltd,edgar/data/1642420/0001214659-25-002519.txt
PEAK6 Capital Management LLC,edgar/data/1389956/0001389958-25-000008.txt
PEAK6 Investments LLC,edgar/data/1756111/0001389958-25-000007.txt
PGIM INVESTMENTS LLC,edgar/data/1038001/0001137774-25-000042.txt
PGIM SECURITIES INVESTMENT TRUST ENTERPRISE,edgar/data/1666044/0001137774-25-000039.txt
PHOENIX INVESTMENTS HOUSE LTD.,edgar/data/1698157/0001178913-25-000452.txt
"PROSPECTOR PARTNERS FUND, L.P.",edgar/data/1269754/0001398344-25-002613.txt
Pale Fire Capital investicni spolecnost a.s.,edgar/data/2055254/0000921895-25-000401.txt
Parsow Management LLC,edgar/data/1541495/0000900440-25-000009.txt
Pictet Asset Management (Hong Kong) Ltd,edgar/data/1808517/0001808517-25-000004.txt
Pivotal bioVenture Partners Fund I U.G.P. Ltd,edgar/data/1752847/0001012975-25-000082.txt
Quadrature US Inc.,edgar/data/2045083/0001651424-25-000003.txt
RBC Trust Co (Delaware) Ltd,edgar/data/1483254/0001140361-25-004239.txt
ROCKEFELLER & CO. LLC,edgar/data/315123/0001739439-25-000003.txt
ROCKEFELLER FINANCIAL LLC,edgar/data/1723502/0001739439-25-000006.txt
"ROCKEFELLER TRUST COMPANY, N.A.",edgar/data/866998/0001739439-25-000004.txt
RUSSELL INVESTMENT MANAGEMENT LTD,edgar/data/1097248/0000950123-25-001903.txt
"RUSSELL INVESTMENTS IMPLEMENTATION SERVICES, LLC",edgar/data/85816/0000950123-25-001901.txt
RUSSELL INVESTMENTS IRELAND LTD,edgar/data/1021905/0000950123-25-001899.txt
"RUSSELL INVESTMENTS JAPAN CO., LTD.",edgar/data/1097249/0000950123-25-001904.txt
Rockefeller Trust Co (Delaware),edgar/data/1292819/0001739439-25-000005.txt
Russell Investment Group Ltd,edgar/data/2054945/0000950123-25-001906.txt
"Russell Investment Management, LLC",edgar/data/1415227/0000950123-25-001902.txt
Russell Investments Canada Ltd,edgar/data/2054948/0000950123-25-001898.txt
"Russell Investments Capital, LLC",edgar/data/1843723/0000950123-25-001900.txt
Russell Investments Ltd,edgar/data/2054951/0000950123-25-001905.txt
Russell Investments Trust Co,edgar/data/400007/0000950123-25-001907.txt
SETANTA ASSET MANAGEMENT LTD,edgar/data/1620577/0001046192-25-000005.txt
SIT FIXED INCOME ADVISORS II LLC /ADV,edgar/data/1053046/0000897101-25-000096.txt
SMBC Nikko Securities Inc.,edgar/data/1552241/0000950123-25-001921.txt
SMBC Trust Bank Ltd.,edgar/data/1748941/0000950123-25-001918.txt
STICHTING PENSIOENFONDS ABP,edgar/data/918509/0001434820-25-000002.txt
STIFEL NICOLAUS & CO INC \MO\,edgar/data/948905/0000948905-25-000001.txt
STRATEGIC ADVISERS LLC,edgar/data/1026420/0000315066-25-000938.txt
SUMITOMO MITSUI BANKING CORP,edgar/data/1184915/0000950123-25-001912.txt
SUN LIFE CAPITAL MANAGEMENT (U.S.) LLC,edgar/data/1381133/0001104659-25-012327.txt
SYNOVUS TRUST CO NA,edgar/data/945597/0001172661-25-000780.txt
Sachs Lewis A,edgar/data/1923163/0000950123-25-002027.txt
Senkypl Dusan,edgar/data/1922405/0000921895-25-000402.txt
SevenOneSeven Capital Management,edgar/data/1821035/0001398344-25-002646.txt
Shenoy Muralidhar,edgar/data/1847008/0001172661-25-000784.txt
Simcah Management LLC,edgar/data/1567982/0000919574-25-001028.txt
Singhal Sandeep,edgar/data/1847012/0001172661-25-000786.txt
Sound Capital Solutions LLC,edgar/data/2033735/0002033735-25-000001.txt
"Stifel Independent Advisors, LLC",edgar/data/1483835/0001483835-25-000001.txt
"Stifel Trust Co Delaware, N.A.",edgar/data/1592412/0001135986-25-000002.txt
"Stifel Trust Company, N.A.",edgar/data/1135986/0001135986-25-000001.txt
"Sumitomo Mitsui Card Company, Ltd",edgar/data/1831012/0000950123-25-001920.txt
"Sumnicht & Associates, LLC",edgar/data/1491661/0001491661-25-000001.txt
Sun Life Assurance Co of Canada,edgar/data/1381352/0001104659-25-012333.txt
"Synovus Securities, Inc.",edgar/data/1520194/0001172661-25-000778.txt
TOWER PRINCIPAL MARKETS LLC,edgar/data/1925409/0001533421-25-000004.txt
TSG7 A Management LLC,edgar/data/1882776/0000950123-25-002059.txt
"Takeda Vaccines, Inc.",edgar/data/1905616/0001905616-25-000009.txt
"Takeda Vaccines, Inc.",edgar/data/1905616/0001905616-25-000011.txt
"Takeda Vaccines, Inc.",edgar/data/1905616/0001905616-25-000013.txt
"Takeda Vaccines, Inc.",edgar/data/1905616/0001905616-25-000015.txt
"Tekne Long Only Master Fund, L.P.",edgar/data/1731051/0000919574-25-001103.txt
"Tekne Master Fund, L.P.",edgar/data/1557567/0000919574-25-001104.txt
Timelo Strategic Opportunities Fund,edgar/data/1909604/0000919574-25-001119.txt
"Tortoise Index Solutions, LLC",edgar/data/1650373/0001650373-25-000002.txt
Tower Research Capital Investments LLC,edgar/data/1569605/0001533421-25-000003.txt
UBS EUROPE SE,edgar/data/1894864/0000950123-25-002070.txt
"UBS SuMi TRUST Wealth Management Co., Ltd.",edgar/data/2055553/0000950123-25-002067.txt
"United Capital Financial Partners, LLC",edgar/data/1372312/0001372312-25-000001.txt
"Upstart Wealth Management, LLC",edgar/data/1902383/0001902383-25-000001.txt
"VALINOR CAPITAL PARTNERS OFFSHORE MASTER FUND, L.P.",edgar/data/1452938/0001172661-25-000831.txt
"VALINOR CAPITAL PARTNERS, L.P.",edgar/data/1401387/0001172661-25-000830.txt
Valkyrie Funds LLC,edgar/data/2056280/0002056280-25-000001.txt
WELLS FARGO BANK N A,edgar/data/740906/0000072971-25-000058.txt
"WELLS FARGO INVESTMENT INSTITUTE, INC.",edgar/data/1467728/0000072971-25-000056.txt
WFM ASIA (HK) Ltd,edgar/data/1632572/0001632574-25-000004.txt
Washington Crossing Advisers LLC,edgar/data/1725950/0001725950-25-000001.txt
"Wells Fargo Securities, LLC",edgar/data/1470801/0000072971-25-000057.txt
Wendell Peter C,edgar/data/1032635/0001172661-25-000785.txt
"WestBridge Capital US Advisors, LP",edgar/data/1846563/0001172661-25-000790.txt
"WestBridge Crossover Fund, LLC",edgar/data/1526766/0001172661-25-000789.txt
XTX Capital Ltd,edgar/data/1828299/0001828299-25-000001.txt
XTX EXECUTION SERVICES LLC,edgar/data/1812830/0001812830-25-000001.txt
XTX Holdings LLC,edgar/data/1828298/0001828298-25-000001.txt
XTX Holdings Ltd,edgar/data/1747035/0001747035-25-000001.txt
XTX MARKETS LLC,edgar/data/1715650/0001715650-25-000001.txt
XTX MARKETS LLC,edgar/data/1715650/0001715650-25-000002.txt
XTX Midco Ltd,edgar/data/1828300/0001828300-25-000001.txt
